"id","parent_category_id","name","status"
0,,"Uncategorized","active"
1,,"Barang","active"
2,,"Jasa","active"
3,1,"Alat Peraga Sekolah","active"
4,1,"Alat Tulis Kantor","active"
5,1,"Aplikasi Pembelajaran Digital","active"
6,1,"Dapur","active"
7,1,"Elektronik","active"
8,1,"Film & Musik","active"
9,1,"Handphone & Tablet","active"
10,1,"Kamera","active"
11,1,"Kesehatan","active"
12,1,"Komputer & Laptop","active"
13,1,"Makanan dan Minuman","active"
14,1,"Olahraga","active"
15,1,"Pertukangan","active"
16,1,"Rumah Tangga","active"
17,2,"Jasa Audio","active"
18,2,"Jasa Cetak","active"
19,2,"Jasa Jahit","active"
20,2,"Jasa Lainnya","active"
21,2,"Voucher & Tagihan","active"
22,1,"Buku Teks","active"
23,1,"Buku Non Teks","active"
24,3,"Alat Peraga Sekolah Lainnya","active"
25,3,"Peraga Biologi","active"
26,3,"Peraga Edukasi Anak","active"
27,3,"Peraga Fisika","active"
28,3,"Peraga Kesenian","active"
29,3,"Peraga Kimia","active"
30,3,"Peraga Matematika","active"
31,3,"Peraga Olahraga","active"
32,4,"Alat Tulis","active"
33,4,"Buku Tulis","active"
34,4,"Document Organizer","active"
35,4,"Kalkulator & Kamus Elektronik","active"
36,4,"Kertas","active"
37,4,"Meja Kursi Kerja","active"
38,4,"Pemotong Kertas","active"
39,4,"Pengikat & Perekat","active"
40,4,"Surat Menyurat","active"
41,5,"Paket Pembelajaran Digital","active"
42,5,"Pembelajaran Digital Referensi","active"
43,5,"Pembelajaran Digital SD","active"
44,5,"Pembelajaran Digital SMA","active"
45,5,"Pembelajaran Digital SMK","active"
46,5,"Pembelajaran Digital SMP","active"
47,6,"Aksesoris Dapur","active"
48,6,"Alat Masak Khusus","active"
49,6,"Bekal","active"
50,6,"Lain-Lain","active"
51,6,"Penyimpanan Makanan","active"
52,6,"Peralatan Baking","active"
53,6,"Peralatan Dapur","active"
54,6,"Peralatan Makan & Minum","active"
55,6,"Peralatan Masak","active"
56,6,"Perlengkapan Cuci Piring","active"
57,7,"Aksesoris Elektronik","active"
58,7,"Alat Pendingin Ruangan","active"
59,7,"Audio","active"
60,7,"Elektronik Dapur","active"
61,7,"Elektronik Kantor","active"
62,7,"Elektronik Rumah Tangga","active"
63,7,"Kamera Pengintai","active"
64,7,"Lampu","active"
65,7,"Media Player","active"
66,7,"Perangkat Elektronik Lainnya","active"
67,7,"Printer","active"
68,7,"Telepon","active"
69,7,"TV & Aksesoris","active"
70,8,"Alat Musik Digital","active"
71,8,"Alat Musik Gesek","active"
72,8,"Alat Musik Tiup","active"
73,8,"Alat Musik Tradisional","active"
74,8,"Drum & Perkusi","active"
75,8,"Film","active"
76,8,"Gitar & Bass","active"
77,8,"Keyboard & Piano","active"
78,8,"Musik","active"
79,8,"Perlengkapan Alat Musik","active"
80,8,"Vokal","active"
81,9,"Aksesoris Handphone","active"
82,9,"Aksesoris Tablet","active"
83,9,"Handphone","active"
84,9,"Komponen Handphone","active"
85,9,"Komponen Tablet","active"
86,9,"Nomor Perdana & Voucher","active"
87,9,"Power Bank","active"
88,9,"Tablet","active"
89,9,"Wearable Devices","active"
90,10,"Aksesoris Kamera","active"
91,10,"Analog","active"
92,10,"Baterai & Charger Kamera","active"
93,10,"Camcoder","active"
94,10,"Cleaning Tools Kamera","active"
95,10,"Digital","active"
96,10,"Drone & Aksesoris","active"
97,10,"Frame, Album, & Roll Film","active"
98,10,"Lensa & Aksesoris","active"
99,10,"Lighting & Studio","active"
100,10,"Tes & Case Kamera","active"
101,10,"Video","active"
102,11,"Essential Oil","active"
103,11,"Kesehatan Wanita","active"
104,11,"Lainnya","active"
105,11,"Obat-obatan","active"
106,11,"Perlengkapan Medis","active"
107,11,"Tulang Otot & Sendi","active"
108,11,"Vitamin & Multivitamin","active"
109,12,"Aksesoris Komputer & Laptop","active"
110,12,"Aksesoris PC Gaming","active"
111,12,"Desktop & Mini PC","active"
112,12,"Kabel & Adaptor","active"
113,12,"Komponen Komputer","active"
114,12,"Komponen Laptop","active"
115,12,"Laptop","active"
116,12,"Media Penyimpanan Data","active"
117,12,"Memory Card","active"
118,12,"Monitor","active"
119,12,"Networking","active"
120,12,"PC & Laptop Gaming","active"
121,12,"Software","active"
122,13,"Bahan Kue","active"
123,13,"Beras","active"
124,13,"Bumbu & Bahan Masakan","active"
125,13,"Katering","active"
126,13,"Kopi","active"
127,13,"Kue","active"
128,13,"Makanan Beku","active"
129,13,"Makanan Jadi","active"
130,13,"Makanan Kering","active"
131,13,"Makanan Ringan","active"
132,13,"Makanan Sarapan","active"
133,13,"Mie & Pasta","active"
134,13,"Minuman","active"
135,13,"Paket & Parcel Makanan","active"
136,13,"Produk Susu","active"
137,13,"Protein & Telur","active"
138,13,"Sayur & Buah","active"
139,13,"Teh","active"
140,13,"Tepung","active"
141,14,"Aksesoris Olahraga","active"
142,14,"Alat Pancing","active"
143,14,"Badminton","active"
144,14,"Baseball","active"
145,14,"Basket","active"
146,14,"Beladiri","active"
147,14,"Boxing","active"
148,14,"Gym & Fitness","active"
149,14,"Hiking & Camping","active"
150,14,"Lain-Lain","active"
151,14,"Olahraga Air","active"
152,14,"Pakaian Olahraga Pria","active"
153,14,"Pakaian Olahraga Wanita","active"
154,14,"Panahan","active"
155,14,"Perlengkapan Lari","active"
156,14,"Sepak Bola & Futsal","active"
157,14,"Sepatu Roda & Skateboard","active"
158,14,"Sepeda","active"
159,14,"Tenis","active"
160,14,"Tenis Meja","active"
161,14,"Voli","active"
162,14,"Yoga & Pilates","active"
163,15,"Alat Angkut Barang","active"
164,15,"Alat Keselamatan","active"
165,15,"Alat Perkebunan","active"
166,15,"Alat Ukur Industri","active"
167,15,"Baut & Mur Pengencang","active"
168,15,"Cat & Perlengkapan","active"
169,15,"Generator & Genset","active"
170,15,"Gerobak","active"
171,15,"Hand Tools","active"
172,15,"Ledeng","active"
173,15,"Machinery","active"
174,15,"Material Bangunan","active"
175,15,"Mesin Produksi","active"
176,15,"Motors & Power Transmission","active"
177,15,"Otomasi Industrial","active"
178,15,"Perlengkapan Las","active"
179,15,"Perlengkapan Listrik","active"
180,15,"Pneumatic","active"
181,15,"Power Tools","active"
182,15,"Tape & Sealant Perekat","active"
183,15,"Tenaga Surya","active"
184,16,"Dekorasi","active"
185,16,"Furniture","active"
186,16,"Kamar Mandi","active"
187,16,"Kamar Tidur","active"
188,16,"Kebersihan","active"
189,16,"Kebutuhan Rumah","active"
190,16,"Lain-lain","active"
191,16,"Laundry","active"
192,16,"Ruang Tamu & Keluarga","active"
193,16,"Taman","active"
194,16,"Tempat Penyimpanan","active"
195,16,"Travel","active"
196,17,"Jasa Sewa Audio","active"
197,18,"Jasa Cetak Dokumen / Spanduk","active"
198,18,"Jasa Fotokopi / Scan / Laminasi / Jilid","active"
199,21,"Isi Ulang & Tagihan Lainnya","active"
200,21,"Listrik","active"
201,21,"Paket Data","active"
202,21,"PDAM","active"
203,21,"Pulsa","active"
204,22,"Buku Siswa","active"
205,22,"Buku Guru","active"
206,23,"PENGAYAAN","active"
207,23,"PANDIK","active"
208,23,"REFERENSI","active"
209,32,"Correction (Tip-Ex)","active"
210,32,"Highlighter","active"
211,32,"Jangka","active"
212,32,"Kaca Pembesar","active"
213,32,"Kapur Tulis","active"
214,32,"Paket Alat Tulis","active"
215,32,"Papan Jalan","active"
216,32,"Papan Tulis & Tempel","active"
217,32,"Penggaris","active"
218,32,"Penghapus","active"
219,32,"Pensil","active"
220,32,"Pulpen","active"
221,32,"Rautan","active"
222,32,"Spidol Papan Tulis","active"
223,32,"Spidol Permanen","active"
224,32,"Tempat Pensil","active"
225,32,"Tinta","active"
226,33,"Agenda & Planner","active"
227,33,"Buku Keuangan","active"
228,33,"Buku Telepon & Alamat","active"
229,33,"Buku Tulis Sekolah","active"
230,33,"Jurnal - Diary","active"
231,33,"Notebook & Notepad","active"
232,34,"Binder","active"
233,34,"Box File","active"
234,34,"Goodie Bag","active"
235,34,"Kalender","active"
236,34,"Klip Kabel","active"
237,34,"Kotak Kartu Nama","active"
238,34,"Lanyard","active"
239,34,"Lemari File - Filling Cabinet","active"
240,34,"Map","active"
241,34,"Name Tag & ID Card Holder","active"
242,34,"Ordner","active"
243,34,"Pembatas Buku","active"
244,34,"Rak Kertas","active"
245,34,"Stationery Stand","active"
246,35,"Kalkulator","active"
247,35,"Kalkulator Ilmiah","active"
248,35,"Kamus Elektronik","active"
249,36,"Kertas Binder","active"
250,36,"Kertas Fax","active"
251,36,"Kertas Folio Bergaris","active"
252,36,"Kertas HVS","active"
253,36,"Kertas Karton","active"
254,36,"Kertas Thermal","active"
255,36,"Sticky Notes","active"
256,37,"Kursi Kerja","active"
257,37,"Meja Kerja","active"
258,38,"Cutter","active"
259,38,"Cutting Mat","active"
260,38,"Gunting","active"
261,38,"Isi Cutter","active"
262,38,"Pembolong Kertas","active"
263,38,"Pemotong Styrofoam","active"
264,39,"Cord Holder","active"
265,39,"Dispenser Isolasi","active"
266,39,"Double Tape","active"
267,39,"Klip Kertas","active"
268,39,"Lem Kertas","active"
269,39,"Lem Serbaguna","active"
270,39,"Selotip & Lakban","active"
271,39,"Staples","active"
272,39,"Stiker & Label","active"
273,40,"Amplop","active"
274,40,"Kartu Pos","active"
275,40,"Kertas Surat","active"
276,40,"Perangko","active"
277,40,"Stempel","active"
278,47,"Alat Pemotong Serbaguna","active"
279,47,"Capit Makanan","active"
280,47,"Celemek","active"
281,47,"Chopper","active"
282,47,"Grinder","active"
283,47,"Korek Kompor","active"
284,47,"Magnet Kulkas","active"
285,47,"Parutan","active"
286,47,"Peeler","active"
287,47,"Pelindung Tangan","active"
288,47,"Pengasah Pisau","active"
289,47,"Pisau Dapur","active"
290,47,"Pisau Set","active"
291,47,"Talenan","active"
292,47,"Tatakan Gas","active"
293,47,"Termometer Makanan & Minuman","active"
294,47,"Timer Masak","active"
295,48,"Chocolate Melter","active"
296,48,"Coffee & Tea Maker","active"
297,48,"Cotton Candy Maker","active"
298,48,"Donut Maker","active"
299,48,"Ice Cream & Yogurt Maker","active"
300,48,"Mesin Es Serut","active"
301,48,"Mesin Sostel","active"
302,48,"Noodle & Pasta Maker","active"
303,48,"Pancake Maker","active"
304,48,"Popcorn Maker","active"
305,48,"Sushi Maker & Roller","active"
306,48,"Waffle Maker","active"
307,49,"Botol Minum","active"
308,49,"Cetakan Bento","active"
309,49,"Cup Bento","active"
310,49,"Kotak Makan","active"
311,49,"Lunch Box Set","active"
312,49,"Partisi Bento","active"
313,49,"Rantang","active"
314,49,"Tas Bekal","active"
315,49,"Tas Botol","active"
316,49,"Termos Air","active"
317,49,"Tusuk Bento","active"
318,51,"Aluminium Foil","active"
319,51,"Box Telur","active"
320,51,"Cooler Box","active"
321,51,"Food Display","active"
322,51,"Food Warmer","active"
323,51,"Ice - Rice Bucket","active"
324,51,"Plastic Wrap","active"
325,51,"Plastik","active"
326,51,"Plastik Klip","active"
327,51,"Sealer Makanan","active"
328,51,"Tempat Buah & Sayur","active"
329,51,"Tempat Bumbu","active"
330,51,"Tempat Roti","active"
331,51,"Tempat Saos & Kecap","active"
332,51,"Toples Makanan","active"
333,52,"Alat Penghias Kue","active"
334,52,"Cetakan Kue","active"
335,52,"Kertas Baking","active"
336,52,"Kocokan Telur","active"
337,52,"Kuas Kue","active"
338,52,"Loyang Kue","active"
339,52,"Pisau Kue","active"
340,52,"Tatakan Kue","active"
341,53,"Alat Pembuka Botol","active"
342,53,"Alat Pembuka Kaleng","active"
